gene_id	gene_name	ech01	ech02	ech03	ech04	ech05	ech06
GENE00046	dhr1B	129	140	132	135	91	118
GENE00047	cox9B	2	0	1	0	0	0
GENE00048	gst5B	2118	982	1318	1955	1436	1793
GENE00049	cbp5A	1	2	2	3	3	3
GENE00050	cox8C	1311	329	1464	7478	4509	7415
GENE00051	adh7E	1630	1671	1200	1993	1479	872
GENE00052	hsp2D	0	0	0	0	0	0
GENE00053	gst9D	368	295	491	481	458	607
GENE00054	hsp5B	0	0	0	2	0	0
GENE00055	ubq2D	1	0	0	1	0	0
GENE00056	dna8B	499	424	282	343	526	562
GENE00057	myb7B	52	44	32	43	37	44
GENE00058	hsp1B	107	123	149	105	115	97
GENE00059	hsp1C	86	129	112	97	123	113
GENE00060	aco1B	12	13	8	5	7	7
GENE00061	dna1A	0	0	0	0	0	0
GENE00062	srp2E	504	338	424	395	296	365
GENE00063	bcl4B	2	2	0	0	0	0
GENE00064	abc7D	0	0	0	0	0	0
GENE00065	eef8A	14	17	11	9	14	15
GENE00066	bcl5E	27	46	25	203	160	156
GENE00067	dhr1C	161	148	107	456	463	597
GENE00068	gst2A	38	51	27	38	45	48
GENE00069	rbp5B	357	284	369	331	391	391
GENE00070	cox1E	359	465	331	391	281	203
GENE00071	myb2D	0	1	0	0	0	0
GENE00072	tub9A	0	3	2	1	1	2
GENE00073	nfk2C	0	0	0	0	0	0
GENE00074	mcm7D	612	372	552	339	466	384
GENE00075	atp4B	17	12	14	13	9	13
GENE00076	ubq9D	0	0	0	0	0	0
GENE00077	tub3D	1710	1066	1787	1513	1501	2013
GENE00078	efl6B	1	2	1	0	1	0
GENE00079	ino4E	434	374	399	398	329	297
GENE00080	atp5D	9	12	7	5	14	12
GENE00081	bcl4E	82	148	91	87	153	105
GENE00082	srp3B	185	429	205	572	418	543
GENE00083	abc5C	3	3	3	30	31	26
GENE00084	srp4D	39	35	43	44	40	41
GENE00085	atp1D	287	454	319	459	159	305
GENE00086	hsp2E	0	0	0	1	0	0
GENE00087	fbx4B	2	3	1	3	1	2
GENE00088	aco9C	414	459	430	3455	3722	2050
GENE00089	cox7B	96	148	170	94	160	121
GENE00090	gap1A	12	11	12	8	14	11
GENE00091	abc1C	0	0	0	0	0	0
GENE00092	cox8A	3	3	3	2	1	1
GENE00093	mcm9E	3	3	1	3	1	3
GENE00094	rad3B	20	43	57	50	50	36
GENE00095	ago8D	431	349	494	315	344	353
GENE00096	ago1A	3	3	2	2	2	3
GENE00097	rpl2B	4	2	4	1	0	0
GENE00098	ino1B	2	3	2	3	3	3
GENE00099	kif8A	3	3	2	2	1	1
GENE00100	cdk4D	6	11	12	14	11	8
GENE00101	ubq8E	1318	1657	1369	1976	1321	1274
GENE00102	tub9A	2	5	2	2	3	3
GENE00103	arf1C	1099	2048	1905	1417	1957	1729
GENE00104	rbp8B	134	89	76	167	89	123
GENE00105	lsm6D	0	0	0	0	0	0
GENE00106	nad5D	112	79	176	93	78	133
GENE00107	kif2C	26	51	48	54	61	50
GENE00108	eef5D	0	0	0	0	0	0
GENE00109	eef7C	142	86	142	147	113	137
GENE00110	pol8C	438	438	394	421	324	394
GENE00111	ubq1B	0	0	0	0	0	0
GENE00112	hsp8C	0	1	1	1	0	2
GENE00113	atp6B	76	114	138	133	99	97
GENE00114	abc4B	1	3	2	2	2	1
GENE00115	hsp8A	0	0	1	0	0	3
GENE00116	rps3C	0	0	0	0	0	0
GENE00117	orc4A	1242	955	1857	1126	1977	1497
GENE00118	gst1B	18	7	11	16	13	8
GENE00119	mcm5B	16	7	16	11	12	15
GENE00120	dhr4A	0	0	0	0	0	0
GENE00121	cox6B	1	1	0	1	0	0
GENE00122	lsm7C	16	10	8	8	9	9
GENE00123	ino2B	68	90	123	167	155	113
GENE00124	gap3D	111	117	98	140	139	103
GENE00125	sod5E	0	3	0	0	0	1
GENE00126	aco9C	1464	1361	1373	1456	1540	2379
GENE00127	srp9E	0	0	0	0	0	0
GENE00128	dna1D	9	14	10	14	6	5
